CID dproj vlos zclus
1 1.67411296326796 205.233424689669 0.0231
1 1.4798601122972 1039.35316586844 0.0231
1 1.56189349239903 1387.19803467892 0.0231
1 1.62007434567444 -881.229075398299 0.0231
1 1.56812363936522 -793.029102766103 0.0231
1 1.60561451296306 -152.454092229498 0.0231
1 1.51774785274432 402.751549447758 0.0231
1 1.74738245570694 50.8629609617827 0.0231
1 1.75023455615046 199.34072884371 0.0231
1 1.58623803727899 1024.79577503665 0.0231
1 1.95177006056757 1159.09708220115 0.0231
1 1.98928227140886 -223.931232841364 0.0231
1 1.89803187004043 -792.381521571694 0.0231
1 2.24905447698125 -348.835287107809 0.0231
1 2.17351966689218 950.013333124817 0.0231
1 2.38294748337898 -228.900905717916 0.0231
1 2.48496244713489 987.016298387255 0.0231
1 2.63182578571959 1408.43928390187 0.0231
1 3.01067982164302 -10.0301829342194 0.0231
1 2.95664649993802 -1334.24874878311 0.0231
1 3.01267199122897 -1012.21336033623 0.0231
1 3.59888361101235 614.976506851725 0.0231
1 3.87194840278313 -107.161501632294 0.0231
1 3.9832068359352 -1279.09299845567 0.0231
1 4.06182692323874 -549.330527221191 0.0231
1 4.19030504105236 -139.751538031473 0.0231
1 4.56178971474424 873.985542762194 0.0231
1 5.12448877712542 -545.122714573355 0.0231
1 5.94014684726183 -849.444852702571 0.0231
1 6.16327555892413 3671.16709342195 0.0231
1 6.33658671426581 -344.36961407487 0.0231
1 7.22149902157742 3466.37906394292 0.0231
1 7.27685971656909 3108.86736092269 0.0231
1 7.57181244077416 -296.510140553221 0.0231
1 9.63404124089609 1017.37349826996 0.0231
1 7.56103949805138 95.9709469651064 0.0231
1 7.50652157502686 -83.9599274362233 0.0231
1 7.32127020232734 -2220.47093891115 0.0231
1 7.09774753611771 -253.19545631903 0.0231
1 7.01045546338481 -88.2380656436322 0.0231
1 7.00670162720429 103.387363268498 0.0231
1 6.63939543051222 1617.14503309549 0.0231
1 6.78236872063324 284.156283921415 0.0231
1 6.17456358942339 2377.3555413938 0.0231
1 4.64838506785225 -13.8424143094518 0.0231
1 4.40648285331925 -140.425491310723 0.0231
1 2.39709819384525 -283.376842302805 0.0231
1 2.45638365749847 218.545467070667 0.0231
1 2.1764122071171 2317.59639714593 0.0231
1 2.45278762763688 356.119842987001 0.0231
1 2.28070459002207 100.313550268791 0.0231
1 2.53103424679579 185.111523956603 0.0231
1 2.97414422952604 -982.301555664158 0.0231
1 3.00046025635265 -1131.08406763757 0.0231
1 2.90254945897055 -1092.71561442674 0.0231
1 3.05337521638038 -1188.69828231844 0.0231
1 3.2897960555744 130.875866366925 0.0231
1 3.15455494367542 1152.35168894536 0.0231
1 3.43034623223558 969.780675828365 0.0231
1 3.42638460851134 356.260494106148 0.0231
1 3.35938524570799 39.9449178379442 0.0231
1 3.49833543180338 2399.28539505425 0.0231
1 3.51829688289986 987.18918205454 0.0231
1 3.85587118548279 78.6181151402608 0.0231
1 4.09783571815495 84.9767178183957 0.0231
1 4.1332764286812 2421.00427203597 0.0231
1 4.2082762328843 914.053530329391 0.0231
1 4.73956836388571 559.542384517642 0.0231
1 5.05543218897893 337.14073259701 0.0231
1 7.26545174202293 3399.15075922197 0.0231
1 8.66690857144892 3703.62233916528 0.0231
1 9.13724922162823 1074.34306198808 0.0231
1 8.06957869761468 52.4189139673544 0.0231
1 6.32429509839885 -2201.40099134005 0.0231
1 5.45456668579368 -2120.66724894927 0.0231
1 3.20480106271123 79.4883939399865 0.0231
1 3.18987041736508 825.109278858372 0.0231
1 3.07924548604819 294.376931912814 0.0231
1 2.96165150644607 230.574067989444 0.0231
1 3.34772065383208 3156.66822981136 0.0231
1 3.59836491759565 172.869016127456 0.0231
1 3.75290002119192 -346.942357462613 0.0231
1 3.9609293507998 53.675983344737 0.0231
1 5.23725826679721 330.190223125794 0.0231
1 6.09517134463511 -355.273006040465 0.0231
1 6.2472361193443 -384.733555038608 0.0231
1 6.93835363689381 -2074.64503067149 0.0231
1 9.55887517851987 -1440.30555308377 0.0231
1 9.7238029237246 119.023079347083 0.0231
1 8.63708328401578 1166.51935896784 0.0231
1 8.28546525713869 100.243224709218 0.0231
1 7.04391208962046 271.169497253445 0.0231
1 7.04634809665312 244.170342840388 0.0231
1 6.15358889915631 -2222.51331037044 0.0231
1 5.67134485838702 414.686382953769 0.0231
1 3.84642757682453 555.820990323527 0.0231
1 3.63619697048789 798.157008151696 0.0231
1 3.82069855891969 680.235695904604 0.0231
1 4.60265872358313 663.351701143583 0.0231
1 4.74568700964021 3525.97997568175 0.0231
1 5.36918506134968 3479.47719941355 0.0231
1 5.37928090295245 3607.8623688789 0.0231
1 6.15356274674996 -418.709591007721 0.0231
1 7.50519141083278 -109.631686912325 0.0231
1 8.22791830842762 244.132249828952 0.0231
1 7.78020730394881 1593.67094735608 0.0231
1 6.52486787307913 -381.132300342098 0.0231
1 6.54050139782666 -362.235236438276 0.0231
1 6.59625037462314 1669.18008671684 0.0231
1 6.32153811223189 -268.558660854266 0.0231
1 5.95945971306018 1147.23843471801 0.0231
1 5.7293192039267 -1999.15933316391 0.0231
1 4.9991271329527 1000.93782895123 0.0231
1 4.79383874739307 938.884313322256 0.0231
1 4.66347857982651 931.804873658489 0.0231
1 4.64513453484484 328.045293558793 0.0231
1 4.58225135213234 289.09079401818 0.0231
1 4.55364849588289 421.039125168606 0.0231
1 4.30050906253816 623.86389944287 0.0231
1 4.53123852150989 573.065403577363 0.0231
1 4.58642411078392 2944.53703982016 0.0231
1 4.80834493284246 3702.46196743231 0.0231
1 5.0767890872059 -64.6936543446389 0.0231
1 6.3176175565144 637.533430085036 0.0231
1 6.36158361755734 1481.39033103314 0.0231
1 6.62220119950525 -421.006892620467 0.0231
1 6.44640358642164 60.7495625452059 0.0231
1 6.62533194531349 -2022.34332597009 0.0231
1 6.88466096278382 655.290633877432 0.0231
1 6.92961556369619 136.973678428307 0.0231
1 7.9560958142394 -65.3793285504839 0.0231
1 8.54760502539264 94.625970638257 0.0231
1 8.57424606990018 26.3046895122665 0.0231
1 8.81401245533848 2391.82502527612 0.0231
1 9.28368588018183 2336.6458330955 0.0231
1 9.00202351118755 270.155637102922 0.0231
1 9.49481312782441 324.449899325579 0.0231
1 9.53732948254087 2065.54373116997 0.0231
1 9.5649274878453 32.6134782523707 0.0231
1 8.91837879662184 -2122.33162052585 0.0231
1 9.14041541109163 -3949.54085820741 0.0231
1 9.24379488824456 156.755672290099 0.0231
1 9.73107924337748 1372.94538793862 0.0231
1 9.47835429977593 2210.61363964422 0.0231
1 7.77028608840105 371.538721923566 0.0231
1 7.73369196807045 707.984989619783 0.0231
1 4.95426519269213 142.526467402991 0.0231
1 4.9293780837283 3466.74827313068 0.0231
1 4.04970610783239 -197.409706187078 0.0231
1 3.28518658254414 -489.410220232626 0.0231
1 3.1398078375973 -2124.54980588408 0.0231
1 2.9989546438424 310.625066406021 0.0231
1 2.57855072464665 -729.091448186883 0.0231
1 1.72661285461449 1281.64816045352 0.0231
1 1.2820401259424 -364.306910214055 0.0231
1 1.4576107246954 3389.71248308083 0.0231
1 1.1407532960285 556.635594721923 0.0231
1 1.24699299351222 664.690817007136 0.0231
1 1.21962421936534 -1112.11374794253 0.0231
1 1.09580064610784 3400.2964797967 0.0231
1 1.2619822767437 166.185157736292 0.0231
1 9.86992671486144 1086.33650012707 0.0231
1 9.59511547992803 -2333.06802025217 0.0231
